drug_item_id,generic_name,brand_name,aliases,table_type,item_kind,category,supplier,manufacturer,has_drug_diagnosis_links,audit_status,match_method,confidence,official_source,official_code_or_license,official_name_zh,official_name_en,official_ingredient,official_atc_code,reason,recommended_next_action
72,Perindopril5mg+Indapamide1.25m,Acertil plus雅施達加強錠,,oral,oral_drug,口服藥,裕利,施維雅,no,likely_correct,brand_match,high,NHI payment,B023758100,雅施達加強錠,ACERTIL PLUS TABLETS,PERINDOPRIL SALIFIED WITH TERT-BUTYLAMINE 4 MG+INDAPAMIDE 1.25 MG,C09BA04,`Acertil plus` exact matched official en: `ACERTIL PLUS TABLETS`,低優先；可後續補官方代碼欄位設計
73,Gliclazide,Diamicron MR 岱蜜克龍,,oral,oral_drug,口服藥,裕利,施維雅,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第022474號,葛立克拉,GLICLAZIDE,GLICLAZIDE,,`Gliclazide` exact matched official en: `GLICLAZIDE`,低優先；可後續補官方代碼欄位設計
74,Indapamide,Natrilix SR 納催離,,oral,oral_drug,口服藥,裕利,施維雅,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第013710號,義達邁得粉劑,INDAPAMIDE,INDAPAMIDE HEMIHYDRATE,,`Indapamide` exact matched official en: `INDAPAMIDE`,低優先；可後續補官方代碼欄位設計
75,Telmisartan,MICARDIS 必康平,,oral,oral_drug,口服藥,裕利,百靈佳,no,likely_correct,exact_normalized_match,high,TFDA license,衛部藥陸輸字第000744號,替米沙坦,Telmisartan,,,`Telmisartan` exact matched official en: `Telmisartan`,低優先；可後續補官方代碼欄位設計
76,Valsartan,Diovan 得安穩,,oral,oral_drug,口服藥,裕利,諾華,no,likely_correct,exact_normalized_match,high,TFDA license,衛部藥陸輸字第000657號,纈沙坦,Valsartan,,,`Valsartan` exact matched official en: `Valsartan`,低優先；可後續補官方代碼欄位設計
77,Valosartan80mg+Hydrochlorothia,Co- Diovan(80) 可得安穩 (諾華),,oral,oral_drug,口服藥,裕利,諾華,no,likely_correct_but_missing_fields,contains_match,low,TFDA ATC,衛署藥製字第048990號,,losartan,,C09CA01,`Valosartan80mg+Hydrochlorothia` contains/contained by official `losartan`; candidates=30; risk=疑似 OCR/截斷字串,人工抽查後納入官方欄位補強候選
78,Linagliptin,TRAJENTA 糖漸平,,oral,oral_drug,口服藥,裕利,百靈佳,yes,likely_correct,exact_normalized_match,high,TFDA license,衛部藥陸輸字第001185號,L-挪葡汀,Linagliptin,,,`Linagliptin` exact matched official en: `Linagliptin`,低優先；可後續補官方代碼欄位設計
79,Dapagliflozin,Forxiga 福適佳,,oral,oral_drug,口服藥,裕利,阿斯特捷,no,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,BC27114100,釋多糖持續性藥效膜衣錠5毫克/500毫克,Xigduo XR Extended-Release Tablets 5mg/500mg,DAPAGLIFLOZIN 5 MG+METFORMIN HCL 500 MG,A10BD15,`Dapagliflozin` contains/contained by official `DAPAGLIFLOZIN 5 MG+METFORMIN HCL 500 MG`; candidates=30,人工抽查後納入官方欄位補強候選
80,Dapagliflozin10+Metformin1000m,Xigduo 釋多糖持續性,,oral,oral_drug,口服藥,裕利,阿斯特捷,yes,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,A050080100,"""黃氏"" 清醣錠","Glucodue Tablets ""H.S.""",METFORMIN HCL 1000 MG,A10BA02,`Dapagliflozin10+Metformin1000m` contains/contained by official `METFORMIN HCL 1000 MG`; candidates=30,人工抽查後納入官方欄位補強候選
81,Saxagliptin5mg+Dapagliflozin10,Qtern 5mg/10mg 控糖穩,,oral,oral_drug,口服藥,裕利,阿斯特捷,no,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,BC26476100,福適佳膜衣錠10毫克,Forxiga Film-coated Tablets 10mg,DAPAGLIFLOZIN 10 MG,A10BK01,`Saxagliptin5mg+Dapagliflozin10` contains/contained by official `DAPAGLIFLOZIN 10 MG`; candidates=30,人工抽查後納入官方欄位補強候選
82,LEVOTHYROXINE SODIUM,ELTROXIN 昂特欣,,oral,oral_drug,口服藥,裕利,安沛,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第024708號,”德國”昂特欣錠 100 微公克,Eltroxin Tablets 100mcg 〝Germany〞,LEVOTHYROXINE SODIUM,,`LEVOTHYROXINE SODIUM` exact matched official ingredient: `LEVOTHYROXINE SODIUM`,低優先；可後續補官方代碼欄位設計
83,Lansoprazole,Takeprone/Lansoprazole 逸潰定,,oral,oral_drug,口服藥,中化,武田,no,likely_correct,ingredient_match,high,TFDA license,衛部藥製字第058521號,優豪凍晶注射劑30毫克,Wesfor Lyophilized Injection 30mg,LANSOPRAZOLE,,`Lansoprazole` exact matched official ingredient: `LANSOPRAZOLE`,低優先；可後續補官方代碼欄位設計
84,Repaglinide,Repaglinide 柔醣,,oral,oral_drug,口服藥,中化,中化,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第022640號,諾和隆錠２公絲,NOVONORM 2MG TABLETS,REPAGLINIDE,,`Repaglinide` exact matched official ingredient: `REPAGLINIDE`,低優先；可後續補官方代碼欄位設計
85,LEVOFLOXACIN,Leflodal 佐淨菌,,oral,oral_drug,口服藥,中化,中化,no,likely_correct,exact_normalized_match,high,TFDA license,衛部藥陸輸字第000751號,左氧氟沙星,Levofloxacin,,,`LEVOFLOXACIN` exact matched official en: `Levofloxacin`,低優先；可後續補官方代碼欄位設計
86,Acarbose,Acarbose 志樂恆,,oral,oral_drug,口服藥,中化,中化,no,likely_correct,brand_match,high,TFDA license,衛部藥陸輸字第001215號,阿卡波糖,Acarbose,,,`Acarbose` exact matched official en: `Acarbose`,低優先；可後續補官方代碼欄位設計
87,Metformin,Metformin 寬樂醣,,oral,oral_drug,口服藥,中化,中化,yes,likely_correct,ingredient_match,high,TFDA license,內衛藥輸字第000935號,糖必復,DIABEFAGOS,METFORMIN,,`Metformin` exact matched official ingredient: `METFORMIN`,低優先；可後續補官方代碼欄位設計
88,Amoxicillin500mg+Pot.clavulana,Augmentin/Anbicyn 必百欣,,oral,oral_drug,口服藥,中化,中化,no,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,A022664100,"""太田""阿莫克西林膠囊５００毫克（安莫西林）","AMOXICILLIN CAPSULES 500MG ""Taiten""",AMOXICILLIN 500 MG,J01CA04,`Amoxicillin500mg+Pot.clavulana` contains/contained by official `AMOXICILLIN 500 MG`; candidates=30,人工抽查後納入官方欄位補強候選
89,Flunitrazepam,Rohypnol/FM1/Modipanol 美得眠(管制藥),,oral,oral_drug,口服藥,廷宗,瑞士,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第010426號,保施寧錠,VALSERA TABLETS,FLUNITRAZEPAM,,`Flunitrazepam` exact matched official ingredient: `FLUNITRAZEPAM`,低優先；可後續補官方代碼欄位設計
90,Chlorzoxazone,Solaxin(Rezoxin) 肌絡舒片,,oral,oral_drug,口服藥,瑞士,瑞士,no,likely_correct,exact_normalized_match,high,NHI payment,A022298100,可利筋錠,CHLORZOXAZONE TABLETS,CHLORZOXAZONE 200 MG,M03BB03,`Chlorzoxazone` exact matched official en: `CHLORZOXAZONE TABLETS`,低優先；可後續補官方代碼欄位設計
91,Metoclopramide,Primperan(Chiaoweigen) 佐胃健,,oral,oral_drug,口服藥,瑞士,瑞士,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第009075號,盼立派糖衣錠,PRINPARL,METOCLOPRAMIDE HCL,,`Metoclopramide` exact matched official ingredient: `METOCLOPRAMIDE HCL`,低優先；可後續補官方代碼欄位設計
92,Prednisolone,Tonfonrin(Prednisolone) 痛風寧,,oral,oral_drug,口服藥,瑞士,瑞士,no,likely_correct,brand_match,high,NHI payment,A017869100,抗炎敏錠５毫克,PREDNISOLONE TABLETS,PREDNISOLONE 5 MG,H02AB06,`Prednisolone` exact matched official en: `PREDNISOLONE TABLETS`,低優先；可後續補官方代碼欄位設計
93,Sennoside,Sena 快便,,oral,oral_drug,口服藥,瑞士,瑞士,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第008780號,仙塞落糖衣錠,"SENNOSIDE TABLETS ""SAWAI""",SENNOSIDE,,`Sennoside` exact matched official ingredient: `SENNOSIDE`,低優先；可後續補官方代碼欄位設計
94,Sennoside A+B,Sennapur 清立飄,,oral,oral_drug,口服藥,科進,歐帕,no,likely_correct,ingredient_match,high,TFDA license,衛署藥製字第029799號,舒暢錠（番瀉/）,"SHUCHANG TABLETS ""C.M."" (SENNOSIDES)",SENNOSIDE (A+B),,`Sennoside A+B` exact matched official ingredient: `SENNOSIDE (A+B)`,低優先；可後續補官方代碼欄位設計
95,B1 5mg+B2 1mg+B6 1mg+B12 3ug+N,Vitamin B cmplox 綜合維生素,,oral,oral_drug,口服藥,應傑,應傑,no,likely_correct_but_missing_fields,contains_match,low,TFDA license,衛署藥製字第001603號,維他命片”政行”　　　　　　　　　　　　　　　　　　　　　　 V,TAMIN TABLETS,THIAMINE HYDROCHLORIDE;;FOLIC ACID;;NIACINAMIDE (NICOTINAMIDE);;RIBOFLAVIN (VIT B2);;ASCORBIC ACID (VIT C),,`Vitamin B cmplox 綜合維生素` contains/contained by official `TAMIN TABLETS`; candidates=6,人工抽查後納入官方欄位補強候選
96,Bethamechol,Wecoli 胃可麗,,oral,oral_drug,口服藥,強生,應元,no,ambiguous_multiple_candidates,ambiguous_contains_match,low,NHI payment,AC37225100,"""應元""胃可麗錠２５毫克（氯化月尿酯膽生僉）","WECOLI TABLETS 25MG (BETHANECHOL CHLORIDE) ""YY""",BETHANECHOL CHLORIDE 25 MG,N07AB02,short term `Wecoli` matched 30 official candidates,人工選定正確官方候選；不可自動套用
97,Cal.Carbonate,CaCO3 (500) 優鈣錠,,oral,oral_drug,口服藥,優生,優生,no,likely_correct_but_missing_fields,ingredient_match,low,TFDA license,衛署藥製字第043638號,愛思清膠囊２００公絲”汎生”　　　　　　　　　　　　　　　　 I,"EPURE CAPSULE 200MG ""PANBIOTIC""",CARBON,,`Cal.Carbonate` contains/contained by official `CARBON`; candidates=6,人工抽查後納入官方欄位補強候選
98,Oxethazaine,Fencain(Strocain) 芬康胃,,oral,oral_drug,口服藥,優生,優生,no,likely_correct,ingredient_match,high,TFDA license,衛部藥製字第060353號,息胃錠10毫克,Siwen Tablets 10mg,OXETHAZAINE,,`Oxethazaine` exact matched official ingredient: `OXETHAZAINE`,低優先；可後續補官方代碼欄位設計
99,Midorine,Gutron 邁妥林,,oral,oral_drug,口服藥,培力,培力,no,likely_correct,brand_match,high,NHI payment,B007377100,高特隆錠,GUTRON TABLETS,MIDODRINE HCL 2.5 MG,C01CA17,`Gutron` exact matched official en: `GUTRON TABLETS`,低優先；可後續補官方代碼欄位設計
100,Bisacodyl,Dulcolax/Johnlax 通便樂,,oral,oral_drug,口服藥,強生,強生,no,likely_correct,exact_normalized_match,high,NHI payment,N004501100,便秘可通糖衣片,BISACODYL S.C. TABLETS,BISACODYL 5 MG,A06AB02,`Bisacodyl` exact matched official en: `BISACODYL S.C. TABLETS`,低優先；可後續補官方代碼欄位設計
101,ALUMINUM HYDROXIDE,ALUMINUM HYDROXIDE 氫氧化鋁膠錠,,oral,oral_drug,口服藥,強生,強生,no,likely_correct,ingredient_match,high,TFDA license,衛署藥製字第021671號,固胃保寧散（氫氧化鋁）,KMT POWDER (ALUMINUM HYDROXIDE),ALUMINUM (HYDROXIDE),,`ALUMINUM HYDROXIDE` exact matched official ingredient: `ALUMINUM (HYDROXIDE)`,低優先；可後續補官方代碼欄位設計
102,LOPERAMIDE HC1,Loperam(imodium) 肚倍朗膠囊,,oral,oral_drug,口服藥,強生,強生,no,likely_correct,brand_match,high,TFDA license,衛署藥輸字第005676號,易蒙停膠囊,IMODIUM,LOPERAMIDE HCL,,`imodium` exact matched official en: `IMODIUM`,低優先；可後續補官方代碼欄位設計
103,Dextromethorphan,Delcopan 抑咳平,,oral,oral_drug,口服藥,強生,強生,no,likely_correct,exact_normalized_match,high,NHI payment,A017341100,平咳敏錠,DEXTROMETHORPHAN TABLETS,DEXTROMETHORPHAN HBR 30 MG,R05DA09,`Dextromethorphan` exact matched official en: `DEXTROMETHORPHAN TABLETS`,低優先；可後續補官方代碼欄位設計
104,Ferrous gluconate300mg+Vit.B11,Ferrous gluco.B/Ferail 維他葡萄糖鐵劑,,oral,oral_drug,口服藥,強生,強生,no,likely_correct,brand_match,high,NHI payment,N001822100,維他葡萄糖鐵糖衣錠,FERROUS GLUCO-B S.C. TABLETS,FERROUS GLUCONATE 300 MG+THIAMINE (=VITAMIN B1) 10 MG+ASCORBIC ACID (=VIT C) 30 MG,B03AE03,`Ferrous gluco.B` exact matched official en: `FERROUS GLUCO-B S.C. TABLETS`,低優先；可後續補官方代碼欄位設計
105,FOLIC ACID,FOLIC ACID 葉酸,,oral,oral_drug,口服藥,強生,人人,no,likely_correct,brand_match,high,TFDA license,內衛藥輸字第006209號,葉酸,FOLIC ACID,FOLIC ACID,,`FOLIC ACID` exact matched official en: `FOLIC ACID`,低優先；可後續補官方代碼欄位設計
106,LABETALOL,LABTAL 壓血泰,,oral,oral_drug,口服藥,杏輝,杏輝,no,likely_correct,ingredient_match,high,TFDA license,衛署藥製字第049266號,樂通壓膜衣錠 200 毫克,Labedin F.C. Tablets 200mg,LABETALOL HCL,,`LABETALOL` exact matched official ingredient: `LABETALOL HCL`,低優先；可後續補官方代碼欄位設計
107,Acetaminophen.,panadol (LACTAM)利克痛錠,,oral,oral_drug,口服藥,杏輝,杏輝,no,likely_correct,exact_normalized_match,high,NHI payment,A015075100,對位乙醯氨基酚錠,ACETAMINOPHEN TABLETS,ACETAMINOPHEN (=PARACETAMOL) 500 MG,N02BE01,`Acetaminophen.` exact matched official en: `ACETAMINOPHEN TABLETS`,低優先；可後續補官方代碼欄位設計
108,Benzbromarone,Nogout 杏定痛,,oral,oral_drug,口服藥,杏輝,杏輝,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第022414號,本普麻隆〝優門〞,BENZBROMARONE,BENZBROMARONE,,`Benzbromarone` exact matched official en: `BENZBROMARONE`,低優先；可後續補官方代碼欄位設計
109,Lactulose,Lactul 樂多糖漿,,oral,oral_drug,口服藥,杏輝,杏輝,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第009851號,萊保液,LAEVOLAC (R) LIQUID,LACTULOSE,,`Lactulose` exact matched official ingredient: `LACTULOSE`,低優先；可後續補官方代碼欄位設計
110,TRTRAMADOL HCL 37.5 MGACETAMIN,Apo-Tramadol/ Acet 37.5/ 325mg 安保舒痛錠,,oral,oral_drug,口服藥,鴻汶,嬌生,no,likely_correct,brand_match,high,NHI payment,B025452100,安保舒痛錠,Apo-Tramadol/ Acet 37.5/ 325mg tablets,TRAMADOL HCL 37.5 MG+ACETAMINOPHEN (=PARACETAMOL) 325 MG,N02AJ13,`安保舒痛錠` exact matched official zh: `安保舒痛錠`,低優先；可後續補官方代碼欄位設計
111,PROSULTIAMINE (=THIAMINE PROPY,SERNVITA 勝維他糖衣錠５０毫克,,oral,oral_drug,口服藥,井田,井田,no,likely_correct,ingredient_match,high,TFDA license,衛署藥製字第011525號,鹽酸丙基二硫胺明,"THIAMIME PROPYLDISUFIDE HYDROCHLORIDE ""DELTA""",PROSULTIAMINE HCL,,`PROSULTIAMINE` exact matched official ingredient: `PROSULTIAMINE HCL`,低優先；可後續補官方代碼欄位設計
112,Vit.D3/Calcitriol,Hicalol 優賢骨醇,,oral,oral_drug,口服藥,友益,井田,no,likely_correct,exact_normalized_match,high,TFDA license,衛部藥輸字第028609號,鈣三醇,Calcitriol,,,`Calcitriol` exact matched official en: `Calcitriol`,低優先；可後續補官方代碼欄位設計
113,CHLORPHENIRAMINE MALEATE 2 MG,NORSECON 鼻康速錠,,oral,oral_drug,口服藥,友益,井田,no,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,A007204229,汝復淨注射液,"LIFUTIN INJECTION ""ASTAR""",PYRIDOXINE HCL .5 MG/ML+CHLORPHENIRAMINE MALEATE .2 MG/ML+CALCIUM BROMIDE 10 MG/ML+NIACINAMIDE (=NICOTINAMIDE) 1 MG/ML+RIBOFLAVIN PHOSPHATE SODIUM .02 MG/ML,R06AB54,`CHLORPHENIRAMINE MALEATE 2 MG` contains/contained by official `PYRIDOXINE HCL .5 MG/ML+CHLORPHENIRAMINE MALEATE .2 MG/ML+CALCIUM BROMIDE 10 MG/ML+NIACINAMIDE (=NICOTINAMIDE) 1 MG/ML+RIBOFLAVIN PHOSPHATE SODIUM .02 MG/ML`; candidates=30,人工抽查後納入官方欄位補強候選
114,Nicametate,Euclidan 優庫利暖,,oral,oral_drug,口服藥,順華(豐秀),順華(豐秀),no,likely_correct,ingredient_match,high,TFDA license,衛署藥製字第027278號,力康膠囊１００公絲（尼卡密特）,"NICAMET CAPSULES 100MG ""CHINTENG"" (NICAMETATE)",NICAMETATE,,`Nicametate` exact matched official ingredient: `NICAMETATE`,低優先；可後續補官方代碼欄位設計
115,Cal.polystyrene sulfonate,Kalimate 加利美粉,,oral,oral_drug,口服藥,順華(豐秀),順華(豐秀),no,likely_correct,brand_match,high,NHI payment,B013086121,加利美粉,KALIMATE POWDER,POLYSTYRENE SULFONATE (CALCIUM) 9 ％,V03AE01,`加利美粉` exact matched official zh: `加利美粉`,低優先；可後續補官方代碼欄位設計
116,FENOFIBRATE MICRONIZED 200 MG,Down-Lip 濁血清,,oral,oral_drug,口服藥,正和,大昭,no,likely_correct,ingredient_match,high,NHI payment,AC45374100,濁血清微粒膠囊２００毫克,DOWN-LIP MICRONISED CAPSULES 200MG,FENOFIBRATE MICRONIZED 200 MG,C10AB05,`FENOFIBRATE MICRONIZED 200 MG` exact matched official ingredient: `FENOFIBRATE MICRONIZED 200 MG`,低優先；可後續補官方代碼欄位設計
117,Pentoxifylline,Fylin 暢循,,oral,oral_drug,口服藥,正和,正和,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第021260號,本多西林,PENTOXIFYLLINE,PENTOXIFYLLINE,,`Pentoxifylline` exact matched official en: `PENTOXIFYLLINE`,低優先；可後續補官方代碼欄位設計
118,DILTIAZEM,PROGOR CAPSULE 保樂康,,oral,oral_drug,口服藥,天義,天義,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第016705號,鹽酸迪太贊,DILTIAZEM HCL,DILTIAZEM HYDROCHLORIDE,,`DILTIAZEM` exact matched official en: `DILTIAZEM HCL`,低優先；可後續補官方代碼欄位設計
119,THEOPHYLLINE (ANHYDROUS),XANTHIUM 善寧,,oral,oral_drug,口服藥,天義,天義,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第013891號,茶/粉劑,THEOPHYLLINE ANHYDROUS,THEOPHYLLINE,,`THEOPHYLLINE (ANHYDROUS)` exact matched official en: `THEOPHYLLINE ANHYDROUS`,低優先；可後續補官方代碼欄位設計
120,Lovastatin20mg+Niacin500mg,Linicor 理脂,,oral,oral_drug,口服藥,高峰,健亞/東生華,no,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,A040541100,樂乏脂錠２０公絲（樂瓦司他汀）,"LOVASTIN TABLETS 20MG (LOVASTATIN) ""KINGDOM""",LOVASTATIN 20 MG,C10AA02,`Lovastatin20mg+Niacin500mg` contains/contained by official `LOVASTATIN 20 MG`; candidates=30,人工抽查後納入官方欄位補強候選
121,Glycyrrhiza0.12ml+Opium Tinctu,BM/Liquid Brown Mixture 甘草止咳水,,oral,oral_drug,口服藥,晟德,晟德,no,likely_correct_but_missing_fields,ingredient_match,low,TFDA license,衛署藥製字第005869號,阿片酊,OPIUM TINCTURE,OPIUM,,`Glycyrrhiza0.12ml+Opium Tinctu` contains/contained by official `OPIUM`; candidates=19,人工抽查後納入官方欄位補強候選
122,DIPHENIDOL,DIPHENIDOL 敵芬尼朵,,oral,oral_drug,口服藥,永信,永信,no,likely_correct,brand_match,high,NHI payment,AC21767100,"""優生""待芬?糖衣錠（敵芬尼朵）",DIPHENIDOL S.C. TABLETS,DIPHENIDOL HCL 50 MG,N07CA,`DIPHENIDOL` exact matched official en: `DIPHENIDOL S.C. TABLETS`,低優先；可後續補官方代碼欄位設計
123,Beniel,Beniel 保你爾膜衣錠,,oral,oral_drug,口服藥,健喬信元,健喬信元,no,ambiguous_multiple_candidates,ambiguous_contains_match,low,NHI payment,A056633100,保你爾膜衣錠4毫克,Beniel F.C. Tablets 4mg,BENIDIPINE HYDROCHLORIDE 4 MG,C08CA15,short term `Beniel` matched 27 official candidates,人工選定正確官方候選；不可自動套用
124,pms-PREGABALIN,pms-PREGABALIN 普佳寧膠囊,,oral,oral_drug,口服藥,信東,信東,no,likely_correct_but_missing_fields,contains_match,low,TFDA license,衛部藥陸輸字第001003號,異丁胺丁酸,Pregabalin,,,`pms-PREGABALIN 普佳寧膠囊` contains/contained by official `Pregabalin`; candidates=30,人工抽查後納入官方欄位補強候選
125,INSULIN GLARGINE,TOUJEO 糖德仕 450IU,,injection,injection_drug,注射藥,大昌華嘉,賽諾菲,yes,likely_correct,ingredient_match,high,TFDA license,衛部菌疫輸字第001011號,糖德仕注射劑,Toujeo 300 units/mL solution for injection,INSULIN GLARGINE,,`INSULIN GLARGINE` exact matched official ingredient: `INSULIN GLARGINE`,低優先；可後續補官方代碼欄位設計
126,Insulin glargine100units+lixis,Soliqua 爽胰達注射劑,,injection,injection_drug,注射藥,大昌華嘉,賽諾菲,yes,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,KC00728266,蘭德仕注射劑,"LANTUS 100 U/ML, SOLUTION FOR INJECTION",INSULIN GLARGINE 100 IU/ML,A10AE04,`Insulin glargine100units+lixis` contains/contained by official `INSULIN GLARGINE 100 IU/ML`; candidates=30,人工抽查後納入官方欄位補強候選
127,INSULIN DEGLUDEC 300 U +/- INS,Ryzodeg FlexTouch諾胰得 諾特筆,,injection,injection_drug,注射藥,大昌華嘉,諾和諾德,yes,likely_correct,brand_match,high,NHI payment,KC01053216,諾胰得 諾特筆,Ryzodeg? FlexTouch?,insulin degludec 70 U/ML (UNIT+INSULIN ASPART 30 U/ML (UNIT/ML),A10AD06,`Ryzodeg FlexTouch` exact matched official en: `Ryzodeg? FlexTouch?`,低優先；可後續補官方代碼欄位設計
128,Human monocomponent Insulin Bi,Actrapid 愛速基因人體胰島素,,injection,injection_drug,注射藥,大昌華嘉,諾和諾德,yes,likely_correct,brand_match,high,NHI payment,K000739209,愛速基因人體胰島素,ACTRAPID　100 IU/ML,INSULIN MONOCOMPONENT， HUMAN 100 IU/ML,A10AB01,`愛速基因人體胰島素` exact matched official zh: `愛速基因人體胰島素`,低優先；可後續補官方代碼欄位設計
129,Insulin degludec,Tresiba FlexTouch 諾胰保諾特筆,,injection,injection_drug,注射藥,大昌華嘉,諾和諾德,yes,likely_correct,brand_match,high,NHI payment,KC01054266,諾胰保 諾特筆,Tresiba FlexTouch,insulin degludec 100 U/ML (UNIT,A10AE06,`Tresiba FlexTouch` exact matched official en: `Tresiba FlexTouch`,低優先；可後續補官方代碼欄位設計
130,Insulin Aspart : Insulin Aspar,NovoMix 30 FlexPen諾和密斯諾易筆,,injection,injection_drug,注射藥,大昌華嘉,諾和諾德,yes,likely_correct,brand_match,high,NHI payment,K000820266,諾和密斯 30諾易筆 注射劑,NovoMix 30 FlexPen,INSULIN ASPART 100 U/ML (UNIT,A10AD05,`NovoMix 30 FlexPen` exact matched official en: `NovoMix 30 FlexPen`,低優先；可後續補官方代碼欄位設計
131,HYDROCORTISONE,SOLU-CORTEF 舒汝固體膚滅菌注射粉劑,,injection,injection_drug,注射藥,久裕,輝瑞,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第011431號,膚立爽洗劑,HYDROCORTISONE 1.0% LOTION,HYDROCORTISONE,,`HYDROCORTISONE` exact matched official ingredient: `HYDROCORTISONE`,低優先；可後續補官方代碼欄位設計
132,Dulaglutide,Trulicity 易週糖,,injection,injection_drug,注射藥,裕利,禮來,no,likely_correct,ingredient_match,high,TFDA license,衛部菌疫輸字第000979號,易週糖 注射劑 0.75毫克/0.5毫升,TRULICITY injection 0.75mg/0.5mL,Dulaglutide,,`Dulaglutide` exact matched official ingredient: `Dulaglutide`,低優先；可後續補官方代碼欄位設計
133,Cefazolin,Cefazolin Inj.西華樂林,,injection,injection_drug,注射藥,中化,中化,no,likely_correct,brand_match,high,NHI payment,A017833277,"""應元""西華樂林注射劑",CEFAZOLIN INJECTION,CEFAZOLIN (SODIUM) 500 MG,J01DB04,`Cefazolin` exact matched official en: `CEFAZOLIN INJECTION`,低優先；可後續補官方代碼欄位設計
134,Ceftazidime,Fortum/Tatumcef Inj.祐坦賜福,,injection,injection_drug,注射藥,中化,中化,no,likely_correct,ingredient_match,high,TFDA license,衛署藥製字第040867號,賽特黴素靜脈注射劑０．５公克（西他利汀）,"CETADIN I.V INJECTION 0.5MGM (CEFTAZIDIME) ""T.T.Y""",CEFTAZIDIME,,`Ceftazidime` exact matched official ingredient: `CEFTAZIDIME`,低優先；可後續補官方代碼欄位設計
135,DEXAMETHASONE (SODIUM PHOSPHAT,DEXAMETHASONE INJECTION 0.5%力克爽注射液,,injection,injection_drug,注射藥,中化,中化,no,likely_correct,brand_match,high,NHI payment,A018679209,力克爽注射液０．５％,DEXAMETHASONE INJECTION 0.5％,DEXAMETHASONE (SODIUM PHOSPHATE) 5 MG/ML,H02AB02,`DEXAMETHASONE INJECTION 0.5` exact matched official en: `DEXAMETHASONE INJECTION 0.5％`,低優先；可後續補官方代碼欄位設計
136,Ferric Hydroxide sucrose compl,Fe-Back 2% 5ml Inj.鐵補,,injection,injection_drug,注射藥,杏昌,南光,no,likely_correct_but_missing_fields,ingredient_match,low,NHI payment,A057792212,鐵輔注射液2％,Feva Injection 2％,FERRIC-(HYDROXIDE-SUCROSE COMPLEX) 20 MG/ML,B03AC,`Ferric Hydroxide sucrose compl` contains/contained by official `FERRIC-(HYDROXIDE-SUCROSE COMPLEX) 20 MG/ML`; candidates=30,人工抽查後納入官方欄位補強候選
137,Furosemide,Lasix/Fursemide 2ml Inj.扶如泄民,,injection,injection_drug,注射藥,suspected_shift,南光,no,likely_correct,ingredient_match,high,TFDA license,內衛藥製字第013992號,服樂泄注射液,"FURSEMIDE INJECTION ""H.S.C.""",FUROSEMIDE,,`Furosemide` exact matched official ingredient: `FUROSEMIDE`,低優先；可後續補官方代碼欄位設計
138,Tanexamic acid,Transamin/tranexamic acid 5ml Inj.,,injection,injection_drug,注射藥,suspected_shift,台裕,no,likely_correct,brand_match,high,NHI payment,NC15392100,斷血炎膠囊,TRANSAMIN CAPSULES,TRANEXAMIC ACID 250 MG,B02AA02,`Transamin` exact matched official en: `TRANSAMIN CAPSULES`,低優先；可後續補官方代碼欄位設計
139,Diphenhydramine,Vena 1ml Inj.,,injection,injection_drug,注射藥,suspected_shift,台裕,no,likely_correct,exact_normalized_match,high,NHI payment,N012153100,鹽酸二苯胺明膠囊,DIPHENHYDRAMINE HCL CAPSULES,DIPHENHYDRAMINE HCL 25 MG,R06AA02,`Diphenhydramine` exact matched official en: `DIPHENHYDRAMINE HCL CAPSULES`,低優先；可後續補官方代碼欄位設計
140,Prochlorperazine,Novamin 2ml Inj.,,injection,injection_drug,注射藥,suspected_shift,塩野義,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第021331號,止吐能注射液５公絲/公撮,PROCHLORPERAZINE EDISYLATE INJECTION USP 5MG/ML,PROCHLORPERAZINE,,`Prochlorperazine` exact matched official ingredient: `PROCHLORPERAZINE`,低優先；可後續補官方代碼欄位設計
