diagnosis_code_id,current_icd9_code,current_name_zh,candidate_icd10_code,official_name_zh,official_name_en,use_flag,mapping_count,batch_group,candidate_status,reason,recommended_next_action
99,5933,輸尿管狹窄,N13.0,腎水腫伴有腎盂輸尿管接合處阻塞,Hydronephrosis with ureteropelvic junction obstruction,1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
100,5989,尿道狹窄,N35.911,男性尿道外口狹窄,"Unspecified urethral stricture, male, meatal",1,8,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 8 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
102,5929,泌尿道結石,N13.9,阻塞性及逆流性泌尿道病變,"Obstructive and reflux uropathy, unspecified",1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
103,7889,泌尿道症狀,R30.1,膀胱裏急後重,Vesical tenesmus,1,7,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 7 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
105,0980,泌尿生殖道淋病雙球菌感染,A54.00,下生殖泌尿道淋病雙球菌感染,"Gonococcal infection of lower genitourinary tract, unspecified",1,4,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 4 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
108,5964,膀胱無張力,N31.2,鬆弛性神經病變性膀胱，他處未歸類者,"Flaccid neuropathic bladder, not elsewhere classified",1,1,Batch B,single_mapping_needs_semantic_review,單一 mapping 且 USE=1，但中文語意只弱相近。,需要更多來源確認語意範圍。
109,75313,多囊腎（顯性染色體）,Q61.2,成人型多囊腎,"Polycystic kidney, adult type",1,1,Batch B,single_mapping_name_mismatch,單一 mapping 且 USE=1，但中文名差異明顯。,需要人工 review；不可自動補。
110,1890,腎臟癌,C64.1,右側腎惡性腫瘤，腎盂除外,"Malignant neoplasm of right kidney, except renal pelvis",1,5,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 5 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
111,1459,口腔癌,C06.9,口惡性腫瘤,"Malignant neoplasm of mouth, unspecified",1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
112,1509,食道癌,C15.9,食道惡性腫瘤,"Malignant neoplasm of esophagus, unspecified",1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
113,1519,胃癌,C16.9,胃惡性腫瘤,"Malignant neoplasm of stomach, unspecified",1,4,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 4 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
114,1539,大腸癌,C18.9,結腸惡性腫瘤,"Malignant neoplasm of colon, unspecified",1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
115,1541,直腸癌,C20,直腸惡性腫瘤,Malignant neoplasm of rectum,1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
116,1579,胰臟癌,C25.9,胰臟惡性腫瘤,"Malignant neoplasm of pancreas, unspecified",1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
117,1599,腸胃道惡性腫瘤,C26.9,消化系統內界定不明的部位惡性腫瘤,Malignant neoplasm of ill-defined sites within the digestive system,1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
118,1629,肺癌,C34.90,未明示側性支氣管或肺惡性腫瘤,Malignant neoplasm of unspecified part of unspecified bronchus or lung,1,5,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 5 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
119,1709,骨骼及關節軟骨之惡性腫瘤,C40.80,未明示側性肢體骨及關節軟骨重疊部位之惡性腫瘤,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,1,8,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 8 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
120,1719,結締組織癌,C47.9,周邊神經及自主神經系統之惡性腫瘤,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
121,1749,女性乳房惡性腫瘤,C50.911,女性右側乳房未明示部位惡性腫瘤,Malignant neoplasm of unspecified site of right female breast,1,4,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 4 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
122,193,甲狀腺癌,C73,甲狀腺惡性腫瘤,Malignant neoplasm of thyroid gland,1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
123,1991,原發不明之癌症（惡性腫瘤）,C45.9,間皮瘤,"Mesothelioma, unspecified",1,11,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 11 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
124,1550,肝癌,C22.0,肝細胞癌,Liver cell carcinoma,1,7,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 7 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
125,1809,子宮頸癌,C53.9,子宮頸惡性腫瘤,"Malignant neoplasm of cervix uteri, unspecified",1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
126,1830,卵巢癌,C56.1,右側卵巢惡性腫瘤,Malignant neoplasm of right ovary,1,5,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 5 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
127,1880,膀胱癌,C67.0,膀胱三角惡性腫瘤,Malignant neoplasm of trigone of bladder,1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
130,2720,純高膽固醇血症,E78.00,純高膽固醇血症,"Pure hypercholesterolemia, unspecified",1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
132,2849,再生不良性貧血,D46.4,骨髓分化不良症候群-頑固性貧血,"Refractory anemia, unspecified",1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
134,2812,葉酸缺乏性貧血,D52.0,飲食性葉酸缺乏性貧血,Dietary folate deficiency anemia,1,4,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 4 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
135,2811,維生素 B12 缺乏性貧血,D51.1,選擇性維生素Ｂ12吸收不良所致伴有蛋白尿的維生素Ｂ12缺乏性貧血,Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria,1,5,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 5 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
136,2809,缺鐵性貧血,D50.8,其他缺鐵性貧血,Other iron deficiency anemias,1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
137,2824,地中海貧血,D56.0,甲(α)型地中海型貧血,Alpha thalassemia,1,25,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 25 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
143,2750,鐵代謝失調,E83.10,鐵代謝疾患,"Disorder of iron metabolism, unspecified",1,6,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 6 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
144,2751,銅代謝失調,E83.00,銅代謝疾患,"Disorder of copper metabolism, unspecified",1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
145,2752,鎂代謝失調,E83.40,鎂代謝疾患,"Disorders of magnesium metabolism, unspecified",1,4,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 4 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
146,2753,磷代謝失調,E83.30,磷代謝疾患,"Disorder of phosphorus metabolism, unspecified",1,4,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 4 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
148,27541,低血鈣,E83.51,低血鈣症,Hypocalcemia,1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
153,2765,體液量缺乏,E86.0,脫水,Dehydration,1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
155,2779,未明示之新陳代謝失調,E88.9,新陳代謝疾患,"Metabolic disorder, unspecified",1,1,Batch B,single_mapping_needs_semantic_review,單一 mapping 且 USE=1，但中文語意只弱相近。,需要更多來源確認語意範圍。
157,0980,淋病,A54.00,下生殖泌尿道淋病雙球菌感染,"Gonococcal infection of lower genitourinary tract, unspecified",1,4,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 4 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
160,0549,單純性泡疹,B00.9,疱疹病毒感染,"Herpesviral infection, unspecified",1,4,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 4 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
166,07030,B 型肝炎,B16.9,急性B型病毒性肝炎未併D 型肝炎病毒未伴有肝昏迷,Acute hepatitis B without delta-agent and without hepatic coma,1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
168,5711,急性酒精性肝炎,K70.10,酒精性肝炎未伴有腹水,Alcoholic hepatitis without ascites,1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
169,5713,酒精性肝病（酒精性肝損害）,K70.40,酒精性肝衰竭未伴有昏迷,Alcoholic hepatic failure without coma,1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
170,5712,酒精性肝硬化,K70.2,酒精性肝纖維化及硬化,Alcoholic fibrosis and sclerosis of liver,1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
174,5715,肝硬化,K74.00,肝纖維化,"Hepatic fibrosis, unspecified",1,8,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 8 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
175,5733,肝炎（未明示）,K71.0,毒性肝疾病併膽汁鬱滯,Toxic liver disease with cholestasis,1,18,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 18 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
179,5761,慢性膽道炎,K83.01,原發性硬化性膽管炎,Primary sclerosing cholangitis,1,3,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 3 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
180,5770,急性胰臟炎,B25.2,巨細胞病毒性胰臟炎,Cytomegaloviral pancreatitis,1,25,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 25 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
181,5771,慢性胰臟炎,K86.0,酒精導致之慢性胰臟炎,Alcohol-induced chronic pancreatitis,1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
186,3310,阿茲海默症,G30.0,早發型阿茲海默氏病,Alzheimer's disease with early onset,1,4,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 4 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
188,3569,周圍神經病變,G60.9,遺傳性及原發性神經病變,"Hereditary and idiopathic neuropathy, unspecified",1,2,Batch B,multiple_mapping_needs_review,單一 ICD-9 對應 2 個 ICD-10，不可自動選唯一值。CSV 僅列其中一個代表候選。,需要更多來源或人工選碼。
27,2741,痛風性腎病變,,,,,0,Batch C,no_mapping,健保 ICD-9→ICD-10-CM 對照表找不到對應。,不建議自動補；需人工或其他來源。
56,7302,骨髓炎,,,,,0,Batch C,no_mapping,健保 ICD-9→ICD-10-CM 對照表找不到對應。,不建議自動補；需人工或其他來源。
74,7886,小便異常,,,,,0,Batch C,no_mapping,健保 ICD-9→ICD-10-CM 對照表找不到對應。,不建議自動補；需人工或其他來源。
80,581,腎徵候群,,,,,0,Batch C,no_mapping,健保 ICD-9→ICD-10-CM 對照表找不到對應。,不建議自動補；需人工或其他來源。
85,4030,高血壓腎臟病,,,,,0,Batch C,no_mapping,健保 ICD-9→ICD-10-CM 對照表找不到對應。,不建議自動補；需人工或其他來源。
107,590,腎感染,,,,,0,Batch C,no_mapping,健保 ICD-9→ICD-10-CM 對照表找不到對應。,不建議自動補；需人工或其他來源。
150,276,體液電解質及酸鹼平衡失調,,,,,0,Batch C,no_mapping,健保 ICD-9→ICD-10-CM 對照表找不到對應。,不建議自動補；需人工或其他來源。
178,5741,膽結石合併膽囊炎,,,,,0,Batch C,no_mapping,健保 ICD-9→ICD-10-CM 對照表找不到對應。,不建議自動補；需人工或其他來源。
182,532,十二指腸潰瘍,,,,,0,Batch C,no_mapping,健保 ICD-9→ICD-10-CM 對照表找不到對應。,不建議自動補；需人工或其他來源。
158,V08,人類免疫不全病毒感染,,,,,0,Batch D,combo_or_non_numeric_icd9,ICD-9 為組合碼/多重碼/非純數字，避免自動 mapping。,暫緩；人工拆解或 OCR/照片佐證。
173,5733+5715,肝炎合併肝硬化,,,,,0,Batch D,combo_or_non_numeric_icd9,ICD-9 為組合碼/多重碼/非純數字，避免自動 mapping。,暫緩；人工拆解或 OCR/照片佐證。
176,570+7824,急性肝炎合併黃疸,,,,,0,Batch D,combo_or_non_numeric_icd9,ICD-9 為組合碼/多重碼/非純數字，避免自動 mapping。,暫緩；人工拆解或 OCR/照片佐證。
187,25060+3572,糖尿病併多發性神經病變,,,,,0,Batch D,combo_or_non_numeric_icd9,ICD-9 為組合碼/多重碼/非純數字，避免自動 mapping。,暫緩；人工拆解或 OCR/照片佐證。
